"Row.names","data...variable.","rank","std","r","Min","Max","Q25","Q50","Q75","groups"
"Manon.0",6.33333333333333,933.083333333333,3.2659863237109,6,1,10,4.75,7.5,8,"abc"
"Manon.1",3,587.735294117647,1.3228756555323,17,1,6,2,3,4,"abc"
"Manon.2",3.17647058823529,657.5,1.01459931239178,17,1,5,3,3,4,"abc"
"Manon.3",2.25,417.25,1.5,4,1,4,1,2,3.25,"bc"
"Manon.4",2,290,NA,1,2,2,2,2,2,"c"
"Manon.5",1,67,NA,1,1,1,1,1,1,"c"
"Moutot.0",2.75,558,1.25830573921179,4,1,4,2.5,3,3.25,"abc"
"Moutot.1",2.8,506.1,1.30384048104053,5,2,5,2,2,3,"bc"
"Moutot.2",3.16666666666667,629.25,1.16904519445001,6,2,5,2.25,3,3.75,"abc"
"Moutot.3",2.4,426,0.547722557505166,5,2,3,2,2,3,"bc"
"Moutot.4",3,548.75,2.82842712474619,2,1,5,2,3,4,"abc"
"Moutot.5",7,1130,NA,1,7,7,7,7,7,"abc"
"Osiris.0",6.5,971.25,3.39116499156263,6,3,12,3.75,6.5,7.75,"abc"
"Osiris.1",3.04166666666667,607.458333333333,1.23285341230492,24,1,6,2,3,4,"abc"
"Osiris.2",3.10714285714286,603.5,1.22744195651516,28,1,6,2,3,3.25,"abc"
"Osiris.3",2.57142857142857,488,0.755928946018454,14,1,4,2,3,3,"bc"
"Osiris.4",3,630,0,2,3,3,3,3,3,"abc"
"Rubis.0",3.25,529.25,2.62995563967658,4,1,7,1.75,2.5,4,"bc"
"Rubis.1",2.25,417.25,1.5,4,1,4,1,2,3.25,"bc"
"Rubis.2",4.75,546,5.56027577253743,4,1,13,1.75,2.5,5.5,"abc"
"Rubis.3",2,319.25,0.816496580927726,4,1,3,1.75,2,2.25,"c"
"Rubis.4",6,1087.5,0,2,6,6,6,6,6,"abc"
"Rubis.5",6,1031.5,2.82842712474619,2,4,8,5,6,7,"abc"
"Rubis.6",5,880,2.82842712474619,2,3,7,4,5,6,"abc"
"Sanié.0",3.16666666666667,519.5,2.63944438597722,6,1,8,1.25,2.5,3.75,"bc"
"Sanié.1",2.42857142857143,424.571428571429,1.39858641350614,14,1,5,1.25,2,3,"bc"
"Sanié.2",2.53333333333333,489.533333333333,1.12546286774228,15,1,4,1.5,3,3,"bc"
"Sanié.3",2.61538461538462,490.730769230769,1.12089707663561,13,1,5,2,3,3,"bc"
"Sanié.4",2.55555555555556,484.666666666667,0.881917103688197,9,1,4,2,3,3,"bc"
"Sanié.5",3,630,0,5,3,3,3,3,3,"abc"
"Sanié.6",3,630,NA,1,3,3,3,3,3,"abc"
"Sans rivale.0",8.66666666666667,1149.5,2.3094010767585,3,6,10,8,10,10,"ab"
"Sans rivale.1",2.8125,473.03125,2.16698715578412,16,1,10,1.75,2.5,3,"bc"
"Sans rivale.2",2.8125,475.53125,1.60078105935821,16,2,8,2,2,3,"bc"
"Sans rivale.3",2.27272727272727,393.363636363636,0.646669790682863,11,1,3,2,2,3,"bc"
"Sans rivale.4",3,617,0.707106781186548,5,2,4,3,3,3,"abc"
